key,english,assamese
ui_0511,"The Status feature is intended only for short-lived community sharing. A user may upload a text, image, or image + caption status. A user may keep up to 5 text statuses and 2 image/image + caption statuses active within a 24-hour active window; deleting an old active status or waiting for expiry frees the quota again. An image + caption status counts toward the image status limit. A status is generally visible only to users in the same or compatible scope based on the selected State/Union Territory and religion preference. Region/religion filtering is used for app experience and safety; if a user selects the wrong region/religion, visibility may change accordingly. Optional location access may be used only to prioritize nearby city/district statuses, show area-relevant banners, support area-targeted admin push notifications, and show aggregate admin insights. Exact GPS coordinates are not stored or shown in dashboards; approximate city/district/state fields may be stored with the user/status/report records when enabled. Status content is stored in the backend with a 24-hour expiry and is processed by scheduled cleanup for permanent deletion of the status document, related replies/comments, and status image. Exact-second deletion is not guaranteed; cleanup may occur in the next scheduled cycle.

Before upload, status images may be compressed by the app to reduce file size. Compression reduces storage/bandwidth usage; the original full-size image is not guaranteed to be retained. When a user opens a status, a view count may be updated. Other users may send likes, reactions, and replies. The status owner can read replies in the replies screen; reply text may appear as a 2-line preview in the app UI and expand through Read more. The replying user is responsible for their message. Do not post private, confidential, financial, medical, legal, password, OTP, address, personal ID, sensitive political/religious targeting, or another person's private information in a status or reply.

Mana Poster Ai does not treat statuses, replies, likes, reactions, or views as public endorsements, official communications, or guaranteed delivery channels. Status/reply sending, viewing, counting, deletion, or display behavior may change because of network delay, moderation, security checks, backend cleanup, device issue, app update, account restriction, or policy enforcement. Users may report abusive, illegal, spam, privacy-violating, impersonating, copyright/trademark infringing, or deceptive political status/reply content through the in-app report option; report reason, optional details, reported content preview, reporter UID, and moderation metadata may be retained for safety and legal review. If there is abuse, spam, harassment, impersonation, copyright/trademark issue, illegal political misuse, misinformation risk, user safety concern, law enforcement request, or legal obligation, Mana Poster Ai may restrict, remove, preserve, review, disclose, or disable statuses/replies. Repeated misuse may lead to account restrictions.",
ui_0512,"The Status feature lets users upload up to 5 text statuses and 2 image/image + caption statuses in 24 hours; they are shown within the matching region/religion scope, deleted by backend cleanup after 24 hours, and replies can be read by the status owner.",
ui_0513,The subscription plan supports poster creation and exports.,
ui_0514,The supported regional language is applied from the selected State or Union Territory; English fallback may appear where full UI support is not available.,
ui_0515,There are no design layers. Do you still want to export only the background?,
ui_0516,There are no posters for this category right now. Pull down to refresh and check again.,
ui_0517,Thin Black,
ui_0518,Thin White,
ui_0519,This account has been disabled.,
ui_0520,This app is designed with Telugu as the primary experience.,
ui_0521,This app is not intended for children under the age of 13.,
ui_0522,"This app is useful for people who share daily greetings, create posters for small businesses, publish devotional or occasion-based posts, or want personalized posters with their own name or business identity.",
ui_0523,This content was removed or is no longer available. Open Home to see the latest posters.,
ui_0524,This domain is not authorized in Firebase Authentication.,
ui_0525,This email is already linked to Google Sign-In. Continue with Google.,
ui_0526,This email is registered with Google Sign-In. Continue with Google.,
ui_0527,"This is a poster creation app where users can choose ready-made designs and personalize them with their photo, business name, WhatsApp details, and other relevant information. Templates, profile details, subscription information, help, and legal access are available in one place.",
ui_0528,This item was removed from your list,
ui_0529,This notification content is unavailable,
ui_0530,"This page contains the rules for using Mana Poster Ai, including subscriptions, payments, ads, account responsibility, and service limitations.",
ui_0531,"This page explains how Mana Poster Ai handles your data, subscriptions, ads, account deletion, and Firebase-powered services.",
ui_0532,This sign-in method is not enabled yet.,
ui_0533,This will be removed only from your My Uploads list. It will not be deleted for other users.,
ui_0534,Tip: Select a layer to unlock tool actions. Tap empty canvas to deselect.,
ui_0535,To capture your photo.,
ui_0536,To save posters.,
ui_0537,To show nearby statuses.,
ui_0538,Too many attempts. Please wait and try again.,
ui_0539,Tools,
ui_0540,"Tools: Crop, Erase, Layers, Stickers, and Border.",
ui_0541,Transparent,
ui_0542,"Transparent background, best for Remove BG",
ui_0543,Trial,
ui_0544,Type text here,
ui_0545,Unable to open legal page. Please try again.,
ui_0546,Undo,
ui_0547,Unlock more posters with membership,
ui_0548,Unlock share & download,
ui_0549,Update App,
ui_0550,Upload failed. Please try again.,
ui_0551,Upload is supported on mobile app only,
ui_0552,Upload Poster,
ui_0553,Upload Status,
ui_0554,Upload submitted for review,
ui_0555,Usage Terms,
ui_0556,"Use this email for login problems, photo selection or upload issues, save or export problems, subscription questions, or general app support. Privacy Policy and Terms & Conditions are also available inside the app.",
ui_0557,User,
ui_0558,"Users may submit an image, quote text, or both for manager review. We may process the uploaded media, quote text, selected region, selected or manager-corrected category, political party category where applicable, upload time, applicable visibility date, review status, rejection reason, contribution share/download counts, and related moderation history. Quote-only submissions are not guaranteed to be published as raw text; a manager may use the quote as reference, create or customize a poster image, and upload it to the appropriate category. Approved posters may become visible to other users in the selected or manager-corrected category. Managers and admins may review, reject, edit, delay, remove, or retain pending, rejected, or policy-violating uploads as part of moderation and record-keeping.",
ui_0559,Using the App,
ui_0560,Verification data is missing. Try restore.,
ui_0561,Verification failed,
ui_0562,Version,
ui_0563,Vertical Spacing,
ui_0564,Video unavailable,
ui_0565,View Privacy Policy,
ui_0566,View Terms & Conditions,
ui_0567,Violence or dangerous content,
ui_0568,Watch the full ad to unlock Telugu fonts,
ui_0569,Watch the full ad to use Remove BG,
ui_0570,"We collect your email address, name, Firebase UID, Google Sign-In details, profile photo, logo, poster profile details, business name, WhatsApp number, selected State/Union Territory, selected app language, selected political party categories, notification token, subscription status, referral code, referral attribution details, and billing information needed for purchase verification.",
ui_0571,"We do not sell personal data. Data may be shared only with essential service providers, lawful authorities, or where reasonably necessary for billing, moderation, fraud prevention, security, or legal compliance.",
ui_0572,"We use this data for login, account security, region-based language selection, showing relevant poster categories, poster personalization, save and export flows, notification delivery, subscription verification, purchase restoration, referral rewards, abuse prevention, and customer support.",
ui_0573,Welcome to Mana Poster Ai,
ui_0574,What this app does,
ui_0575,What We Collect,
ui_0576,"When a status is uploaded, it is stored temporarily in the backend and shown to same-region/religion users; active uploads are limited to 5 text statuses and 2 image/image + caption statuses in 24 hours; other users can reply/comment, and the owner can swipe up to view replies.",
ui_0577,"When you select a State or Union Territory, the app may apply the primary language for that region. Your selected region, language, and political party category preferences may be saved locally and synced with your signed-in account. These choices are used for home categories, dashboard upload matching, personalization, and support. You can update these choices from settings/profile.",
ui_0578,White,
ui_0579,Who it is for,
ui_0580,Width,
ui_0581,World First Aid Day,
ui_0582,World Habitat Day,
ui_0583,World Laughter Day,
ui_0584,World Pangolin Day,
ui_0585,World Rivers Day,
ui_0586,Write your quote (optional),
ui_0587,Write your quote or message here...,
ui_0588,"Yes, export",
ui_0589,You can allow them later in settings.,
ui_0590,You can enable permissions later from Settings as well.,
ui_0591,"You can first save your name, photo, and business details in the profile section.",
ui_0592,You can submit your account deletion request here,
ui_0593,You can upload only 2 image statuses in 24 hours. Delete an old image status to upload again.,
ui_0594,You can upload only 5 text statuses in 24 hours. Delete an old text status to upload again.,
ui_0595,"You must keep your login details secure. You must have the right to use any photos, quote text, status images, status captions, status replies/comments, videos, logos, or poster materials you upload. By submitting a quote or image, you give Mana Poster Ai non-exclusive permission to review, edit/customize, correct the category, and publish the resulting poster in the app. By uploading text/image/caption as a status, you give temporary permission to show it within the selected region/religion scope. By sending a status reply/comment, you give permission to show that reply/comment to the status owner and to process it for safety, moderation, and security purposes. Illegal, deceptive, hateful, obscene, threatening, harassing, privacy-violating, or infringing content is prohibited. Posters or videos shown to other users in the app are reviewed before publication; statuses/replies are short-lived but remain subject to policy and security review.",
ui_0596,Your afternoon poster is ready. Share it now.,
ui_0597,Your Choices and Account Deletion,
ui_0598,"Your login, poster profile, and subscription-related access records will be removed. This cannot be undone.",
ui_0599,Your membership is expiring soon,
ui_0600,Your morning poster is ready. Share it now.,
